CWS Sol
------------------------
Sol ID : 244
Sol costs: -36016.26790031227
Sol time: 1.138942159
# of routes in sol: 134
List of routes (cost and nodes): 
Route 1 Costs = 1161.722742903079 Demand  = 290.0
Route 2 Costs = 1164.34878992275 Demand  = 680.0
Route 3 Costs = 1108.5498227058363 Demand  = 780.0
Route 4 Costs = 1148.4742109471458 Demand  = 620.0
Route 5 Costs = 1063.7355387076125 Demand  = 530.0
Route 6 Costs = 1183.735517097762 Demand  = 560.0
Route 7 Costs = 825.4645853320322 Demand  = 230.0
Route 8 Costs = 29.99999703234285 Demand  = 10.0
Route 9 Costs = 1071.1712069208377 Demand  = 280.0
Route 10 Costs = 1047.3017060653776 Demand  = 630.0
Route 11 Costs = 1058.4742219825364 Demand  = 610.0
Route 12 Costs = 1167.792840113898 Demand  = 640.0
Route 13 Costs = 915.464589641896 Demand  = 240.0
Route 14 Costs = 1193.1507377755772 Demand  = 640.0
Route 15 Costs = 958.9715117211886 Demand  = 560.0
Route 16 Costs = 919.5564063639896 Demand  = 500.0
Route 17 Costs = 829.5564225713771 Demand  = 490.0
Route 18 Costs = 29.99999703234285 Demand  = 30.0
Route 19 Costs = 1073.1507046184618 Demand  = 610.0
Route 20 Costs = 1059.0280604475195 Demand  = 590.0
Route 21 Costs = 1194.3487569696758 Demand  = 550.0
Route 22 Costs = 922.2481142984794 Demand  = 630.0
Route 23 Costs = 34.70753845095797 Demand  = 40.0
Route 24 Costs = 29.99999703234285 Demand  = 10.0
Route 25 Costs = 1074.348756969676 Demand  = 540.0
Route 26 Costs = 792.8329722731694 Demand  = 560.0
Route 27 Costs = 825.4645853320322 Demand  = 230.0
Route 28 Costs = 1193.1506866678355 Demand  = 670.0
Route 29 Costs = 1158.4431482168777 Demand  = 660.0
Route 30 Costs = 30.00004300115591 Demand  = 30.0
Route 31 Costs = 1149.0280604475195 Demand  = 620.0
Route 32 Costs = 739.7939348332577 Demand  = 370.0
Route 33 Costs = 920.1721711157503 Demand  = 250.0
Route 34 Costs = 619.7939274213757 Demand  = 360.0
Route 35 Costs = 1190.379980950074 Demand  = 450.0
Route 36 Costs = 1199.056291130547 Demand  = 690.0
Route 37 Costs = 1074.3488152994998 Demand  = 650.0
Route 38 Costs = 1147.9649410283034 Demand  = 840.0
Route 39 Costs = 1113.2574025773454 Demand  = 810.0
Route 40 Costs = 1018.5498599605073 Demand  = 750.0
Route 41 Costs = 97.54423345864993 Demand  = 70.0
Route 42 Costs = 515.1885177687489 Demand  = 460.0
Route 43 Costs = 60.00000287324261 Demand  = 30.0
Route 44 Costs = 59.9999940646857 Demand  = 10.0
Route 45 Costs = 97.54428461150954 Demand  = 50.0
Route 46 Costs = 97.54424101484966 Demand  = 70.0
Route 47 Costs = 78.77215650930816 Demand  = 40.0
Route 48 Costs = 78.77207853516532 Demand  = 40.0
Route 49 Costs = 60.00000287324261 Demand  = 10.0
Route 50 Costs = 60.00000370592171 Demand  = 30.0
Route 51 Costs = 60.0 Demand  = 30.0
Route 52 Costs = 97.5442265040028 Demand  = 50.0
Route 53 Costs = 534.0187868237063 Demand  = 450.0
Route 54 Costs = 59.9999940646857 Demand  = 30.0
Route 55 Costs = 59.99997624832349 Demand  = 30.0
Route 56 Costs = 59.99998919507488 Demand  = 10.0
Route 57 Costs = 135.08851410586192 Demand  = 90.0
Route 58 Costs = 266.4934270323516 Demand  = 240.0
Route 59 Costs = 60.00000287324261 Demand  = 30.0
Route 60 Costs = 60.00000370592171 Demand  = 10.0
Route 61 Costs = 78.77211816594627 Demand  = 40.0
Route 62 Costs = 228.94915257237074 Demand  = 200.0
Route 63 Costs = 60.00000287324261 Demand  = 30.0
Route 64 Costs = 59.9999940646857 Demand  = 10.0
Route 65 Costs = 59.99997624832349 Demand  = 10.0
Route 66 Costs = 191.40491526344277 Demand  = 160.0
Route 67 Costs = 135.08851410586192 Demand  = 110.0
Route 68 Costs = 78.77207853516532 Demand  = 40.0
Route 69 Costs = 116.31636046979636 Demand  = 80.0
Route 70 Costs = 60.00000370592171 Demand  = 30.0
Route 71 Costs = 60.0 Demand  = 30.0
Route 72 Costs = 135.08847832377757 Demand  = 90.0
Route 73 Costs = 78.77212988438905 Demand  = 40.0
Route 74 Costs = 59.9999940646857 Demand  = 30.0
Route 75 Costs = 59.99997624832349 Demand  = 30.0
Route 76 Costs = 97.54424101484966 Demand  = 50.0
Route 77 Costs = 191.404934888509 Demand  = 160.0
Route 78 Costs = 78.77207853516532 Demand  = 40.0
Route 79 Costs = 60.00000287324261 Demand  = 30.0
Route 80 Costs = 60.00000370592171 Demand  = 10.0
Route 81 Costs = 416.8731415406795 Demand  = 110.0
Route 82 Costs = 416.873233072219 Demand  = 110.0
Route 83 Costs = 253.43655090774007 Demand  = 70.0
Route 84 Costs = 171.71818964820312 Demand  = 40.0
Route 85 Costs = 743.7462347364318 Demand  = 190.0
Route 86 Costs = 988.9014233567816 Demand  = 240.0
Route 87 Costs = 89.99999240027853 Demand  = 30.0
Route 88 Costs = 1088.4742109471458 Demand  = 580.0
Route 89 Costs = 335.1547909450977 Demand  = 80.0
